EMSR,AOI,folder,folderPath,activationDate,GRA,DEL,centerBoxLong,centerBoxLat,resolution_x,resolution_y,height,width,pixelBurned,country,koppen_group,koppen_subgroup,fold,Severity_convention
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_01,2017-06-20T00:00:00.000,1,1,-8.27061388669322,39.8268323149153,0.0001175395793522,-8.91120951371e-05,1442,1977,901978,Portugal,C,Csa,0,4
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_04,2017-06-20T00:00:00.000,1,1,-8.03823813831385,39.8268323149153,0.000117777875509,-8.87428461241e-05,1448,1973,2629,Portugal,C,Csa,0,4
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_08,2017-06-20T00:00:00.000,1,1,-7.80586238993448,39.955331956103,0.0001181972270495,-8.84374681264e-05,1453,1966,60675,Portugal,C,Csb,0,4
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_05,2017-06-20T00:00:00.000,1,1,-8.03823813831385,39.955331956103,0.0001179572326798,-8.87428461241e-05,1448,1970,652165,Portugal,C,Csa,0,4
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_06,2017-06-20T00:00:00.000,1,1,-8.03823813831385,40.0838315972908,0.0001181972270495,-8.87428461241e-05,1448,1966,981581,Portugal,C,Csb,0,4
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_02,2017-06-20T00:00:00.000,1,1,-8.27061388669322,39.955331956103,0.000117777875509,-8.91120951371e-05,1442,1973,1928174,Portugal,C,Csb,0,4
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_03,2017-06-20T00:00:00.000,1,1,-8.27061388669322,40.0838315972908,0.0001180171398574,-8.90503403934e-05,1443,1969,87369,Portugal,C,Csb,0,4
EMSR209,AOI01,optimal,dataOptimal/EMSR209/AOI01/EMSR209_AOI01_01,2017-06-27T00:00:00.000,1,1,-6.73072631571742,37.1033964421245,0.0001143321868964,-8.69795962304e-05,1450,2063,639285,Spain,C,Csa,0,4
EMSR209,AOI01,optimal,dataOptimal/EMSR209/AOI01/EMSR209_AOI01_02,2017-06-27T00:00:00.000,1,1,-6.73072631571742,37.2295168566586,0.0001145542989642,-8.69795962304e-05,1450,2059,221863,Spain,C,Csa,0,4
EMSR210,AOI01,optimal,dataOptimal/EMSR210/AOI01/EMSR210_AOI01_01,2017-07-08T00:00:00.000,1,1,-6.63603414259715,37.7100656265922,0.0001154182542864,-8.67264084511e-05,558,797,83961,Spain,C,Csa,0,4
EMSR211,AOI01,optimal,dataOptimal/EMSR211/AOI01/EMSR211_AOI01_01,2017-07-08T00:00:00.000,1,1,-0.485677518518706,39.8016257252355,0.0001189361826718,-8.62812216921e-05,691,1032,135955,Spain,B,BSk,0,4
EMSR213,AOI01,optimal,dataOptimal/EMSR213/AOI01/EMSR213_AOI01_01,2017-08-31T00:00:00.000,1,1,14.4189222860726,40.8079004558924,0.0001177635927579,-9.06209091807e-05,961,902,154799,Italy,C,Csa,0,4
EMSR213,AOI02,optimal,dataOptimal/EMSR213/AOI02/EMSR213_AOI02_01,2017-08-31T00:00:00.000,1,1,14.7082725886104,37.0907994139851,0.0001122655790846,-9.05191858671e-05,1388,1964,38905,Italy,C,Csa,0,4
EMSR213,AOI02,optimal,dataOptimal/EMSR213/AOI02/EMSR213_AOI02_02,2017-08-31T00:00:00.000,1,1,14.7082725886104,37.2164400439687,0.0001124373265284,-9.05191858671e-05,1388,1961,98455,Italy,C,Csa,0,4
EMSR213,AOI03,optimal,dataOptimal/EMSR213/AOI03/EMSR213_AOI03_04,2017-08-31T00:00:00.000,1,1,15.1169470880876,37.1874083768809,0.0001128130354507,-9.0028770693e-05,1909,1708,91609,Italy,C,Csa,0,4
EMSR213,AOI03,optimal,dataOptimal/EMSR213/AOI03/EMSR213_AOI03_03,2017-08-31T00:00:00.000,1,1,15.1169470880876,37.0155434536278,0.0001125494535921,-9.0028770693e-05,1909,1712,87548,Italy,C,Csa,0,4
EMSR213,AOI03,optimal,dataOptimal/EMSR213/AOI03/EMSR213_AOI03_02,2017-08-31T00:00:00.000,1,1,14.9242624235378,37.1874083768809,0.0001125494535921,-9.02178074819e-05,1905,1712,47563,Italy,C,Csa,0,4
EMSR213,AOI03,optimal,dataOptimal/EMSR213/AOI03/EMSR213_AOI03_01,2017-08-31T00:00:00.000,1,1,14.9242624235378,37.0155434536278,0.0001122871005535,-9.02178074819e-05,1905,1716,18334,Italy,C,Csa,0,4
EMSR213,AOI05,optimal,dataOptimal/EMSR213/AOI05/EMSR213_AOI05_01,2017-08-31T00:00:00.000,1,1,13.0962175768929,37.5180698992683,0.0001121178559381,-9.41630737869e-05,636,1437,10226,Italy,C,Csa,2,4
EMSR213,AOI06,optimal,dataOptimal/EMSR213/AOI06/EMSR213_AOI06_01,2017-08-31T00:00:00.000,1,1,13.2462437359444,38.0670099157262,0.0001109843120215,-9.13446124593e-05,1407,1029,28308,Italy,C,Csa,0,4
EMSR213,AOI06,optimal,dataOptimal/EMSR213/AOI06/EMSR213_AOI06_02,2017-08-31T00:00:00.000,1,1,13.3604465930146,38.0670099157262,0.0001112004450537,-9.12797370243e-05,1408,1027,13592,Italy,C,Csa,0,4
EMSR213,AOI07,optimal,dataOptimal/EMSR213/AOI07/EMSR213_AOI07_01,2017-08-31T00:00:00.000,1,1,12.8047235006611,38.0786806620478,0.0001108396712213,-9.19267898402e-05,1555,1343,122162,Italy,C,Csa,0,4
EMSR213,AOI08,optimal,dataOptimal/EMSR213/AOI08/EMSR213_AOI08_01,2017-08-31T00:00:00.000,1,1,13.8755361253537,37.7450520977715,0.0001116379138905,-9.09570489612e-05,1783,1345,27413,Italy,C,Csa,0,4
EMSR213,AOI08,optimal,dataOptimal/EMSR213/AOI08/EMSR213_AOI08_02,2017-08-31T00:00:00.000,1,1,14.0256891195364,37.7450520977715,0.0001118874770363,-9.08042655643e-05,1786,1342,29438,Italy,C,Csa,0,4
EMSR213,AOI09,optimal,dataOptimal/EMSR213/AOI09/EMSR213_AOI09_02,2017-08-31T00:00:00.000,1,1,14.2200705660125,37.9621915959097,0.000112716249621,-9.07634085549e-05,1309,1128,21019,Italy,C,Csa,0,4
